btype;pol;pkg;vceo;ic;hfe;ft_hz;pwr_w;comment
2N2904A;PNP;TO39;60;0.6;40-120;200M;0.6;undef
2N2904AL;PNP;TO5;60;0.6;40-120;200M;0.6;undef
2N2904L;PNP;TO5;60;0.6;40-120;200M;0.6;undef
2N2905;PNP;TO39;40;0.6;100-300;200M;0.6;undef
2N2905A;PNP;TO39;60;0.6;100-300;200M;0.6;undef
2N2905AL;PNP;TO5;60;0.6;100-300;200M;0.6;undef
2N2905L;PNP;TO5;60;0.6;100-300;200M;0.6;undef
2N2906;PNP;TO18;40;0.6;40-120;200M;0.4;undef
2N2906A;PNP;TO18;60;0.6;40-120;200M;0.4;undef
2N2907;PNP;TO18;40;0.6;100-300;200M;0.4;undef
2N2907A;PNP;TO18;60;0.6;100-300;200M;0.4;undef
2N2913;NPN;TO77;45;30m;60-240;60M;0.6;undef
2N2914;NPN;TO77;45;30m;150-600;60M;0.6;undef
2N2915;NPN;TO77;45;30m;60-240;60M;0.6;undef
2N2915A;NPN;TO77;45;30m;60-240;60M;0.6;undef
2N2916;NPN;TO77;45;30m;150-600;60M;0.6;undef
2N2917;NPN;TO77;45;30m;60-240;60M;0.6;undef
2N2918;NPN;TO77;45;30m;150-600;60M;0.6;undef
2N2919;NPN;TO77;60;30m;60-240;60M;0.6;undef
2N2919A;NPN;TO77;60;30m;60-240;60M;0.6;undef
2N2920;NPN;TO77;60;30m;150-600;60M;0.6;undef
2N2951;NPN;TO39;60;0.25;20-150;200M;3;undef
2N2960;NPN;TO39;30;0.6;-;-;0.6;undef
2N2961;NPN;TO39;30;0.6;-;-;0.6;undef
2N2979;NPN;TO71;60;30mA;-;60M;250mW;Dual Transistor
2N2979A;NPN;TO71;60;30mA;-;60M;250mW;Dual Transistor
2N2991;NPN;TO5;80;1;25-75;30M;2;undef
2N2992;NPN;TO5;100;1;25-75;30M;2;undef
2N2993;NPN;TO5;80;1;60-120;30M;2;undef
2N2994;NPN;TO5;100;1;60-120;30M;2;undef
2N3011;NPN;TO18;12;0.2;-;400M;360mW;undef
2N3012;NPN;TO18;12;0.2;30-120;400M;0.36;undef
2N3014;NPN;TO18;20;0.2;30-120;350M;0.36;undef
2N3019;NPN;TO39;80;1;80min;100M;0.8;undef
2N3020;NPN;TO39;80;1;30min;80M;0.8;undef
2N3036;NPN;TO39;80;1.2;40min;50M;0.8;undef
2N3053;NPN;TO39;40;0.7;50-120;100M;0.8;undef
2N3053L;NPN;TO5;40;0.7;50-120;100M;0.8;undef
2N3054;NPN;TO66;55;4;25-100;0.8M;25;undef
2N3055;NPN;TO3;60;15;20min;0.8M;115;undef
2N3055/5;NPN;TO3;30;15;14min;0.8M;115;undef
2N3055/6;NPN;TO3;100;15;15-70;0.8M;115;undef
2N3055/7;NPN;TO3;100;15;15-70;0.8M;115;undef
2N3055A;NPN;TO3;60;15;20min;0.8M;115;undef
2N3055E;NPN;TO3;60;15;20-70;2.5M;115;undef
2N3055H;NPN;TO3;60;15;20min;0.8M;115;undef
2N3108;NPN;TO5;60;1;20min;70M;0.8;undef
2N3109;NPN;TO39;40;1;100-300;70M;0.8;undef
2N3110;NPN;TO39;40;1;40-120;70M;0.8;undef
2N3114;NPN;TO39;150;0.1;30-120;40M;0.8;undef
2N3167;PNP;TO53;40;3;12-36;1M;85;undef
2N3168;PNP;TO53;60;3;12-36;1M;85;undef
2N3169;PNP;TO53;80;3;12-36;1M;85;undef
2N3170;PNP;TO53;100;3;12-36;1M;85;undef
2N3171;PNP;TO3;40;3;12-36;1M;75;undef
2N3172;PNP;TO3;60;3;12-36;1M;75;undef
2N3173;PNP;TO3;80;3;12-36;1M;75;undef
2N3174;PNP;TO3;100;3;12-36;1M;75;undef
2N3209;PNP;TO18;20;0.2;30-120;400M;0.36;undef
2N3209L;PNP;TO18L;20;0.2;30-120;400M;0.36;undef
2N3244;PNP;TO39;40;1;50-150;175M;1;undef
2N3245;PNP;TO39;50;1;30-90;150M;1;undef
2N3250;PNP;TO18;40;0.2;50min;250M;0.36;undef
2N3250A;PNP;TO18;60;0.2;50min;250M;0.36;undef
